ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
2515,Svetlana Yuryevna Alekseyeva,F,30.0,168.0,53.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Diving,Diving Womens Springboard,NoMedal
123373,Martti Uosikkinen,M,22.0,162.0,61.0,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Mens Team AllAround,Bronze
34290,Gina Faustin,F,24.0,175.0,70.0,Haiti,HAI,1984 Summer,1984,Summer,Los Angeles,Fencing,Fencing Womens Foil Individual,NoMedal
97989,Rodrigo Daniel Quiroga,M,25.0,190.0,87.0,Argentina,ARG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Mens Volleyball,NoMedal
4704,Mihai Apostol,M,25.0,185.0,85.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Canoeing,Canoeing Mens Kayak Fours 1000 metres,NoMedal
40858,Floriane Gnafoua,F,20.0,158.0,60.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 4 x 100 metres Relay,NoMedal
35475,Charles Auguste Frdric Firmenich,M,61.0,175.0,70.0,Ylliam II,SUI,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed 6 metres,NoMedal
133909,Giovanni Paolo Gianpaolo Zandegiacomo Bianco,M,37.0,188.0,83.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Curling,Curling Mens Curling,NoMedal
63965,Anne Kremer,F,28.0,165.0,55.0,Luxembourg,LUX,2004 Summer,2004,Summer,Athina,Tennis,Tennis Womens Singles,NoMedal
18255,Gustaf Eric Carlberg,M,32.0,175.0,70.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Shooting,Shooting Mens SmallBore Rifle Disappearing Target 25 metres Team,Gold
12636,Andrea BodMolnr,F,17.0,175.0,70.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Womens Team AllAround,Silver
51787,Yukio Iketani,M,17.0,166.0,61.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Mens Rings,NoMedal
30174,Tatjana Dschandschgawa,F,24.0,180.0,66.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Handball,Handball Womens Handball,Bronze
67612,Julien Lebas,M,24.0,175.0,70.0,France,FRA,1948 Summer,1948,Summer,London,Athletics,Athletics Mens 4 x 100 metres Relay,NoMedal
88507,Iwona Maria Okrzesik,F,20.0,164.0,60.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Archery,Archery Womens Team,NoMedal
89862,Juan Ostoic Ostoic,M,21.0,193.0,82.0,Chile,CHI,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Mens Basketball,NoMedal
31680,Franz Eichberger,M,23.0,178.0,62.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Mens 1500 metres,NoMedal
122805,Jaromr Turnovsk,M,23.0,175.0,70.0,Czechoslovakia,TCH,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Speed Skating,Speed Skating Mens 1500 metres,NoMedal
11788,Naomi Claire Bishop,F,21.0,168.0,57.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Diving,Diving Womens Springboard,NoMedal
90190,Birgit OverzierMichels,F,23.0,178.0,70.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Mixed Doubles,NoMedal
121999,Sabine Trger Fuchs,F,25.0,171.0,56.0,Austria,AUT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Womens 100 metres,NoMedal
58781,Abraham Kepsin Kalpumu,M,20.0,169.0,70.0,Vanuatu,VAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Mens 100 metres,NoMedal
42759,Michael Greis,M,33.0,176.0,72.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Mens 10 kilometres Sprint,NoMedal
